name,link,price,review_count,review_percentage,game_tags,Review_Category
Crysis 2 Remastered,https://store.steampowered.com/app/2096600/Crysis_2_Remastered/?snr=1_7_7_230_150_23,14.99,4546,89,"['Action', 'FPS', 'Shooter', 'Sandbox', 'Hero Shooter', 'First-Person', 'Aliens', ""Shoot 'Em Up"", 'Dark Humor', 'Futuristic', 'Dystopian', 'Post-apocalyptic', 'Sci-fi', 'Tactical', 'Singleplayer', 'Combat', 'PvE', 'Violent', 'Multiplayer', 'Story Rich']",1000-5000
Tom Clancy’s Rainbow Six® Extraction,https://store.steampowered.com/app/2379390/Tom_Clancys_Rainbow_Six_Extraction/?snr=1_7_7_230_150_24,31.99,2088,65,"['FPS', 'Action', 'Online Co-Op', 'PvE', 'Shooter', 'First-Person', 'Team-Based', 'Gun Customization', 'Realistic', 'Military', 'Demons', 'Sci-fi', 'Stealth', 'Co-op', 'Aliens', 'Singleplayer', 'Multiplayer', 'Violent', 'Extraction Shooter', 'Zombies']",1000-5000
Command & Conquer™ Generals Zero Hour,https://store.steampowered.com/app/2732960/Command__Conquer_Generals_Zero_Hour/?snr=1_7_7_230_150_24,19.88,1530,85,"['Strategy', 'Action', 'Singleplayer', 'Multiplayer', 'RTS', 'RPG', 'FPS', 'Co-op']",1000-5000
Gigantic: Rampage Edition,https://store.steampowered.com/app/1924490/Gigantic_Rampage_Edition/?snr=1_7_7_230_150_24,10.49,3462,60,"['Action', 'MOBA', 'PvP', 'Multiplayer', 'Hero Shooter', 'Third-Person Shooter', 'Combat', '3D', 'Stylized', 'Third Person', 'First-Person', 'Fantasy', 'Character Customization', 'Controller', 'Choices Matter', 'Shooter', 'Fighting']",1000-5000
Command & Conquer Red Alert™ 2 and Yuri’s Revenge™,https://store.steampowered.com/app/2229850/Command__Conquer_Red_Alert_2_and_Yuris_Revenge/?snr=1_7_7_230_150_24,19.88,3975,92,"['Action', 'Strategy', 'RTS', 'RPG', 'Singleplayer', 'Multiplayer', 'Classic', 'Base Building', 'Retro', 'Sci-fi', 'Great Soundtrack']",1000-5000
Crysis 3 Remastered,https://store.steampowered.com/app/2096610/Crysis_3_Remastered/?snr=1_7_7_230_150_24,14.99,3749,84,"['Action', 'FPS', 'Shooter', 'Aliens', 'Hero Shooter', 'Sci-fi', 'Post-apocalyptic', 'First-Person', 'Dystopian', 'Sandbox', 'Futuristic', 'War', ""Shoot 'Em Up"", 'Combat', 'Physics', 'PvE', 'Stealth', 'Singleplayer', 'Story Rich', 'Violent']",1000-5000
Ultimate Epic Battle Simulator 2,https://store.steampowered.com/app/1468720/Ultimate_Epic_Battle_Simulator_2/?snr=1_7_7_230_150_24,19.99,4904,78,"['Simulation', 'Sandbox', 'Action', 'Strategy', 'God Game', 'RTS', 'Grand Strategy', 'Wargame', 'Choose Your Own Adventure', 'Real Time Tactics', '3D', 'Exploration', 'Hack and Slash', 'Cinematic', 'Colorful', 'First-Person', 'Realistic', 'Third Person', 'Top-Down', 'Artificial Intelligence']",1000-5000
Gloomwood,https://store.steampowered.com/app/1150760/Gloomwood/?snr=1_7_7_230_150_24,10.49,4641,99,"['Early Access', 'Immersive Sim', 'Stealth', 'Survival Horror', 'FPS', 'Atmospheric', 'First-Person', 'Exploration', 'Steampunk', 'Singleplayer', 'Shooter', 'Gothic', 'PvE', 'Retro', 'Dark', 'Physics', 'Lovecraftian', 'Action', 'Resource Management', 'Mystery']",1000-5000
Thief Simulator 2,https://store.steampowered.com/app/1332720/Thief_Simulator_2/?snr=1_7_7_230_150_25,19.99,3368,86,"['Simulation', 'Stealth', 'Crime', 'Singleplayer', 'Action', 'Adventure', 'First-Person', 'Open World', 'Atmospheric', 'Indie', 'Driving', 'Heist', 'Walking Simulator', 'Casual', 'Exploration', 'Hacking', 'Funny', 'Realistic', 'Sandbox', 'Silent Protagonist']",1000-5000
Duck Detective: The Secret Salami,https://store.steampowered.com/app/2637990/Duck_Detective_The_Secret_Salami/?snr=1_7_7_230_150_25,5.79,1269,96,"['Detective', 'Adventure', 'Casual', 'Investigation', 'Short', 'Cute', 'Noir', 'Mystery', 'Indie', 'Singleplayer', 'Interactive Fiction', 'Story Rich', 'Point & Click', 'Birds', 'Puzzle', '2.5D', 'Funny', 'Isometric', 'Cozy']",1000-5000
Crash Bandicoot™ 4: It’s About Time,https://store.steampowered.com/app/1378990/Crash_Bandicoot_4_Its_About_Time/?snr=1_7_7_230_150_26,39.99,2251,82,"['Action', '3D Platformer', 'Platformer', 'Adventure', 'Action-Adventure', 'Cartoony', 'Difficult', 'Singleplayer', '3D', 'Third Person', 'Comedy', 'Colorful', 'Family Friendly', 'Great Soundtrack', 'Multiplayer', 'Female Protagonist']",1000-5000
