name,link,price,review_count,review_percentage,game_tags,Review_Category
Police Simulator: Patrol Officers,https://store.steampowered.com/app/997010/Police_Simulator_Patrol_Officers/?snr=1_7_7_230_150_10,29.99,12969,65,"['Simulation', 'Crime', 'Open World', 'Multiplayer', 'Realistic', 'Investigation', 'Immersive Sim', 'Singleplayer', 'Online Co-Op', 'America', 'Third Person', 'Co-op', 'Automobile Sim', '3D', 'Exploration', 'Character Customization', 'Choices Matter', 'Education', 'Early Access', 'Female Protagonist']",5000-25000
Kingdom Two Crowns,https://store.steampowered.com/app/701160/Kingdom_Two_Crowns/?snr=1_7_7_230_150_11,10.49,19957,90,"['Atmospheric', 'Simulation', 'Adventure', 'Co-op', 'Multiplayer', 'Controller', 'Tower Defense', 'Minimalist', 'Local Co-Op', 'Medieval', 'Side Scroller', 'Base Building', '2D', 'Online Co-Op', 'Sandbox', 'City Builder', 'RPG', 'Colony Sim', 'Survival', 'Strategy']",5000-25000
Deep Rock Galactic: Survivor,https://store.steampowered.com/app/2321470/Deep_Rock_Galactic_Survivor/?snr=1_7_7_230_150_11,5.79,22811,85,"['Dwarf', 'Action Roguelike', 'Bullet Hell', 'Top-Down Shooter', 'Roguelite', 'PvE', 'Arena Shooter', 'Procedural Generation', 'Action', 'Arcade', 'Top-Down', 'Sci-fi', 'Space', 'Score Attack', 'Aliens', 'Singleplayer', 'Atmospheric', 'Combat', 'Early Access', 'Dark']",5000-25000
Evil West,https://store.steampowered.com/app/1065310/Evil_West/?snr=1_7_7_230_150_11,34.99,6268,70,"[""Beat 'em up"", 'Western', 'Action-Adventure', 'Co-op', 'Third-Person Shooter', 'Character Action Game', 'Demons', 'Story Rich', 'Vampire', 'Gore', 'Action', 'Multiplayer', 'Singleplayer', 'Online Co-Op', 'Hack and Slash', 'Violent', 'Third Person', 'Shooter', 'RPG', 'Adventure']",5000-25000
Sunkenland,https://store.steampowered.com/app/2080690/Sunkenland/?snr=1_7_7_230_150_11,19.99,15413,68,"['Early Access', 'Open World Survival Craft', 'Co-op', 'Survival', 'Underwater', 'Multiplayer', 'Base Building', 'Crafting', 'Open World', 'Adventure', 'Exploration', 'FPS', 'Sandbox', 'PvE', 'Post-apocalyptic', 'Shooter', 'Realistic', 'Action', 'Trading', '3D']",5000-25000
Wartales,https://store.steampowered.com/app/1527950/Wartales/?snr=1_7_7_230_150_12,17.99,22220,85,"['RPG', 'Open World', 'Turn-Based Strategy', 'Party-Based RPG', 'Medieval', 'Co-op', 'Adventure', 'Strategy', 'Turn-Based Combat', 'Singleplayer', 'Multiplayer', 'Tactical RPG', 'Exploration', 'Survival', 'Sandbox', 'Turn-Based', 'Online Co-Op', 'Story Rich', 'Violent', 'Indie']",5000-25000
Ravenswatch,https://store.steampowered.com/app/2071280/Ravenswatch/?snr=1_7_7_230_150_12,12.99,6719,83,"['Roguelike', 'Action', 'Co-op', 'Action Roguelike', 'Singleplayer', 'Indie', 'Roguelite', 'Difficult', 'Adventure', 'Multiplayer', 'Online Co-Op', 'RPG', 'Hack and Slash', 'Atmospheric', 'Early Access', 'Top-Down', 'Replay Value', 'Dark Fantasy', 'Dark', 'Isometric']",5000-25000
Rotwood,https://store.steampowered.com/app/2015270/Rotwood/?snr=1_7_7_230_150_12,4.99,5009,71,"['Early Access', 'Online Co-Op', 'Dungeon Crawler', 'PvE', 'Hack and Slash', 'Action-Adventure', 'Action Roguelike', 'Co-op', 'Exploration', 'Roguelite', 'Multiplayer', 'RPG', 'Action', 'Singleplayer', 'Adventure', ""Beat 'em up"", 'Replay Value', 'Medieval', 'Action RPG', '2D']",5000-25000
Paint the Town Red,https://store.steampowered.com/app/337320/Paint_the_Town_Red/?snr=1_7_7_230_150_12,10.49,23878,94,"['Gore', 'Action', 'Blood', 'Multiplayer', 'Fighting', 'Violent', 'First-Person', 'Physics', 'Roguelike', 'Funny', ""Beat 'em up"", 'Voxel', 'Roguelite', 'Singleplayer', 'FPS', 'Indie', 'Mature', 'Adventure', 'Difficult', 'Arcade']",5000-25000
Slime Rancher 2,https://store.steampowered.com/app/1657630/Slime_Rancher_2/?snr=1_7_7_230_150_13,12.49,24224,93,"['Early Access', 'Cute', 'Colorful', 'Relaxing', 'Open World', 'Singleplayer', 'First-Person', 'Adventure', 'Creature Collector', 'Family Friendly', 'Simulation', 'Casual', 'Female Protagonist', '3D', 'Fantasy', 'Building', 'Multiplayer', 'Action-Adventure', 'FPS', 'Action']",5000-25000
Bopl Battle,https://store.steampowered.com/app/1686940/Bopl_Battle/?snr=1_7_7_230_150_13,5.79,7119,96,"['Multiplayer', 'Action', '4 Player Local', '2D Fighter', 'Online Co-Op', 'Local Co-Op', 'Strategy', 'Cartoony', 'Funny', 'Co-op', 'Local Multiplayer', '2D', 'Colorful', 'Hand-drawn', 'Cute', 'Physics', 'PvP', 'Controller', 'Casual', 'Comedy']",5000-25000
PlateUp!,https://store.steampowered.com/app/1599600/PlateUp/?snr=1_7_7_230_150_13,10.49,12867,92,"['Co-op', 'Management', 'Cooking', 'Roguelite', 'Building', 'Roguelike', 'Local Co-Op', 'Cute', 'Procedural Generation', 'Funny', 'Base Building', 'Casual', 'Controller', '4 Player Local', 'Strategy', 'Action Roguelike', 'Online Co-Op', 'Top-Down', 'Singleplayer', 'Action']",5000-25000
Stranded: Alien Dawn,https://store.steampowered.com/app/1324130/Stranded_Alien_Dawn/?snr=1_7_7_230_150_13,17.99,7237,80,"['Survival', 'Base Building', 'Simulation', 'Strategy', 'Crafting', '3D', 'Combat', 'Destruction', 'Management', 'Hunting', 'Colony Sim', 'Cooking', 'Resource Management', 'Inventory Management', 'Choices Matter', 'Sci-fi', 'Singleplayer', 'Tutorial', 'Building', 'Space']",5000-25000
Stronghold: Definitive Edition,https://store.steampowered.com/app/2140020/Stronghold_Definitive_Edition/?snr=1_7_7_230_150_13,7.99,6410,83,"['City Builder', 'Real Time Tactics', 'Strategy', 'Medieval', 'Sandbox', 'Building', 'Colony Sim', 'Economy', 'RTS', 'Tower Defense', 'Base Building', '2D', 'Isometric', 'Historical', 'Simulation', 'Atmospheric', 'Open World', 'Resource Management', 'Funny', 'Multiplayer']",5000-25000
Nightingale,https://store.steampowered.com/app/1928980/Nightingale/?snr=1_7_7_230_150_13,14.99,11126,67,"['Early Access', 'Open World Survival Craft', 'Multiplayer', 'Survival', 'Online Co-Op', 'Open World', 'Building', 'Crafting', 'Co-op', 'Exploration', 'Base Building', 'Adventure', 'RPG', 'First-Person', 'Action', 'Singleplayer', 'PvE', 'Fantasy', 'Realistic', 'Procedural Generation']",5000-25000
Disney Dreamlight Valley,https://store.steampowered.com/app/1401590/Disney_Dreamlight_Valley/?snr=1_7_7_230_150_13,29.0,14721,87,"['Relaxing', 'Life Sim', 'Adventure', 'Exploration', 'Character Customization', 'Simulation', 'Singleplayer', 'Sandbox', 'Fantasy', 'Casual', 'Immersive Sim', 'Story Rich', 'Cooking', 'Family Friendly', 'Farming Sim', 'Fishing', 'Crafting', 'Magic', '3D', 'Choose Your Own Adventure']",5000-25000
Demonologist,https://store.steampowered.com/app/1929610/Demonologist/?snr=1_7_7_230_150_13,7.99,14089,87,"['Horror', 'Multiplayer', 'Online Co-Op', 'Psychological Horror', 'Co-op', 'Investigation', 'First-Person', 'Dark', 'Surreal', 'Demons', 'Mystery', 'Detective', 'Indie', 'Cinematic', 'Thriller', '3D', 'Action', 'Tactical', 'Lovecraftian', 'Survival Horror']",5000-25000
A Plague Tale: Requiem,https://store.steampowered.com/app/1182900/A_Plague_Tale_Requiem/?snr=1_7_7_230_150_13,46.99,12625,89,"['Adventure', 'Action', 'Action-Adventure', 'Exploration', 'Cinematic', 'Interactive Fiction', 'Third Person', 'Atmospheric', '3D', 'Realistic', 'Female Protagonist', 'Dark', 'Alternate History', 'Emotional', 'Drama', 'Medieval', 'Historical', 'Singleplayer', 'Mystery', 'Narration']",5000-25000
